shipment_id,origin,destination,cargo_type,weather,port_congestion_level,distance_km,gate_in_wait_hrs,actual_duration_hrs,planned_duration_hrs,total_cost_try
SHP-00035,Izmir,Kocaeli,Dry,Stormy,10,166,8.815678429955776,12.965678429955776,4.371428571428572,8216.58
SHP-00036,Izmir,Kocaeli,Oversized,Clear,9,161,7.934110586960199,10.234110586960199,4.3,14948.4
SHP-00037,Mersin,Kocaeli,Cold_Chain,Clear,1,598,0.8815678429955777,9.42442498585272,10.542857142857143,17851.48
SHP-00038,Mersin,Iskenderun,Hazardous,Clear,5,834,4.407839214977888,16.3221249292636,13.914285714285715,27206.3
SHP-00039,Izmir,Iskenderun,Cold_Chain,Stormy,1,429,0.8815678429955777,11.606567842995577,8.12857142857143,15408.58
SHP-00041,Kocaeli,Ambarli,Dry,Clear,6,431,5.289407057973466,11.446549915116323,8.157142857142858,10989.92
SHP-00043,Iskenderun,Ambarli,Cold_Chain,Clear,5,598,4.407839214977888,12.950696357835032,10.542857142857143,18694.23
SHP-00044,Kocaeli,Mersin,Dry,Clear,5,650,4.407839214977888,13.693553500692175,11.285714285714286,14157.46
SHP-00045,Mersin,Kocaeli,Dry,Clear,3,603,2.644703528986733,11.258989243272447,10.614285714285714,12989.59
SHP-00046,Izmir,Iskenderun,Cold_Chain,Rainy,9,370,7.934110586960199,14.661383314232927,7.285714285714286,15494.94
SHP-00047,Izmir,Ambarli,Cold_Chain,Clear,5,201,4.407839214977888,7.279267786406459,4.871428571428572,10096.0
SHP-00048,Ambarli,Kocaeli,Cold_Chain,Clear,1,391,0.8815678429955777,6.467282128709863,7.585714285714285,13368.28
SHP-00049,Iskenderun,Ambarli,Dry,Clear,10,596,8.815678429955776,17.32996414424149,10.514285714285714,14424.04
SHP-00050,Izmir,Ambarli,Cold_Chain,Rainy,3,181,2.644703528986733,5.935612619895824,4.585714285714285,9292.56
SHP-00051,Iskenderun,Izmir,Cold_Chain,Rainy,7,412,6.1709749009690436,13.661883991878135,7.885714285714286,15844.76
SHP-00053,Iskenderun,Mersin,Oversized,Clear,4,782,3.5262713719823107,14.697699943410882,13.17142857142857,31958.22
SHP-00054,Izmir,Mersin,Hazardous,Stormy,4,412,3.5262713719823107,13.826271371982312,7.885714285714286,18174.05
SHP-00055,Izmir,Iskenderun,Hazardous,Stormy,6,351,5.289407057973466,14.064407057973465,7.014285714285714,17108.0
SHP-00056,Iskenderun,Ambarli,Dry,Clear,9,580,7.934110586960199,16.219824872674486,10.285714285714286,13956.13
SHP-00057,Mersin,Izmir,Dry,Clear,6,385,5.289407057973466,10.789407057973467,7.5,10278.3
SHP-00058,Izmir,Iskenderun,Dry,Clear,3,384,2.644703528986733,8.130417814701019,7.485714285714286,9601.66
SHP-00059,Ambarli,Mersin,Hazardous,Clear,5,157,4.407839214977888,6.650696357835031,4.242857142857143,10449.2
SHP-00060,Kocaeli,Iskenderun,Hazardous,Clear,10,167,8.815678429955776,11.201392715670062,4.385714285714286,12459.86
SHP-00061,Mersin,Kocaeli,Oversized,Clear,3,643,2.644703528986733,11.830417814701018,11.185714285714285,27216.77
SHP-00063,Iskenderun,Mersin,Dry,Clear,9,824,7.934110586960199,19.70553915838877,13.771428571428572,17730.81
SHP-00065,Ambarli,Kocaeli,Cold_Chain,Stormy,4,450,3.5262713719823107,14.776271371982311,8.428571428571429,16867.79
SHP-00066,Kocaeli,Izmir,Cold_Chain,Clear,2,209,1.7631356859911553,4.748849971705441,4.985714285714286,9426.52
SHP-00069,Iskenderun,Kocaeli,Hazardous,Stormy,1,225,0.8815678429955777,6.506567842995578,5.214285714285714,11686.11
SHP-00070,Iskenderun,Ambarli,Hazardous,Rainy,9,600,7.934110586960199,18.84320149605111,10.571428571428571,23759.91
SHP-00071,Iskenderun,Ambarli,Oversized,Rainy,1,635,0.8815678429955777,12.427022388450123,11.071428571428571,27324.7
SHP-00073,Iskenderun,Kocaeli,Dry,Rainy,3,181,2.644703528986733,5.935612619895824,4.585714285714285,6637.54
SHP-00074,Izmir,Kocaeli,Hazardous,Clear,4,177,3.5262713719823107,6.05484280055374,4.5285714285714285,10591.61
SHP-00075,Kocaeli,Mersin,Dry,Clear,2,579,1.7631356859911553,10.034564257419728,10.271428571428572,12457.13
SHP-00076,Mersin,Kocaeli,Dry,Clear,8,605,7.052542743964621,15.695399886821765,10.642857142857142,14122.49
SHP-00079,Iskenderun,Ambarli,Cold_Chain,Stormy,10,571,8.815678429955776,23.090678429955776,10.157142857142857,21793.46
SHP-00080,Kocaeli,Izmir,Dry,Clear,10,227,8.815678429955776,12.058535572812918,5.242857142857143,8715.61
SHP-00081,Kocaeli,Izmir,Cold_Chain,Clear,5,150,4.407839214977888,6.550696357835031,4.142857142857142,8991.44
SHP-00082,Iskenderun,Ambarli,Dry,Rainy,4,603,3.5262713719823107,14.489907735618674,10.614285714285714,13797.32
SHP-00084,Kocaeli,Izmir,Hazardous,Clear,5,151,4.407839214977888,6.5649820721207455,4.157142857142857,10300.69
SHP-00085,Mersin,Izmir,Cold_Chain,Clear,4,432,3.5262713719823107,9.697699943410882,8.17142857142857,14790.45
SHP-00086,Mersin,Izmir,Dry,Rainy,2,391,1.7631356859911553,8.872226595082065,7.585714285714285,9870.4
SHP-00087,Iskenderun,Mersin,Hazardous,Clear,3,829,2.644703528986733,14.487560671843877,13.842857142857143,26377.29
SHP-00089,Kocaeli,Mersin,Dry,Clear,10,590,8.815678429955776,17.244249858527205,10.428571428571429,14331.22
SHP-00090,Izmir,Ambarli,Cold_Chain,Stormy,7,165,6.1709749009690436,10.295974900969043,4.357142857142858,10552.16
SHP-00091,Kocaeli,Mersin,Hazardous,Clear,5,610,4.407839214977888,13.122124929263602,10.714285714285714,21661.86
SHP-00092,Ambarli,Kocaeli,Dry,Rainy,6,379,5.289407057973466,12.180316148882557,7.414285714285715,10554.64
SHP-00094,Mersin,Iskenderun,Oversized,Clear,2,833,1.7631356859911553,13.663135685991156,13.9,32773.02
SHP-00095,Mersin,Iskenderun,Cold_Chain,Stormy,7,807,6.1709749009690436,26.345974900969043,13.528571428571428,26864.1
SHP-00096,Izmir,Ambarli,Dry,Clear,3,177,2.644703528986733,5.173274957558162,4.5285714285714285,6399.37
SHP-00097,Izmir,Mersin,Dry,Stormy,6,426,5.289407057973466,15.939407057973465,8.085714285714285,12053.64
SHP-00098,Izmir,Iskenderun,Dry,Stormy,10,450,8.815678429955776,20.065678429955774,8.428571428571429,13370.78
SHP-00099,Kocaeli,Izmir,Dry,Clear,7,193,6.1709749009690436,8.9281177581119,4.757142857142857,7528.45
SHP-00101,Mersin,Izmir,Dry,Clear,2,422,1.7631356859911553,7.791707114562584,8.028571428571428,10028.34
SHP-00102,Iskenderun,Kocaeli,Cold_Chain,Clear,2,167,1.7631356859911553,4.148849971705441,4.385714285714286,8516.89
SHP-00103,Izmir,Mersin,Cold_Chain,Clear,9,406,7.934110586960199,13.734110586960199,7.8,15770.09
SHP-00104,Ambarli,Kocaeli,Dry,Clear,4,440,3.5262713719823107,9.811985657696596,8.285714285714285,10688.37
SHP-00105,Izmir,Mersin,Cold_Chain,Rainy,9,381,7.934110586960199,14.861383314232928,7.442857142857143,15748.18
SHP-00106,Izmir,Mersin,Oversized,Clear,1,381,0.8815678429955777,6.324424985852721,7.442857142857143,18788.14
SHP-00107,Mersin,Ambarli,Dry,Stormy,6,229,5.289407057973466,11.014407057973465,5.271428571428571,8478.37
SHP-00108,Izmir,Kocaeli,Cold_Chain,Clear,2,239,1.7631356859911553,5.177421400276869,5.414285714285715,10076.26
SHP-00109,Kocaeli,Iskenderun,Dry,Clear,5,210,4.407839214977888,7.407839214977888,5.0,7350.66
SHP-00110,Izmir,Iskenderun,Hazardous,Clear,8,441,7.052542743964621,13.352542743964621,8.3,18536.65
SHP-00111,Izmir,Iskenderun,Cold_Chain,Clear,2,360,1.7631356859911553,6.905992828848299,7.142857142857143,12696.88
SHP-00112,Ambarli,Iskenderun,Dry,Clear,7,565,6.1709749009690436,14.242403472397616,10.071428571428571,13283.29
SHP-00113,Izmir,Ambarli,Oversized,Clear,8,173,7.052542743964621,9.523971315393194,4.4714285714285715,14878.89
SHP-00114,Izmir,Kocaeli,Oversized,Rainy,2,154,1.7631356859911553,4.563135685991155,4.2,11946.33
SHP-00115,Iskenderun,Mersin,Hazardous,Stormy,2,775,1.7631356859911553,21.138135685991156,13.071428571428571,28009.48
SHP-00116,Kocaeli,Iskenderun,Dry,Clear,7,160,6.1709749009690436,8.45668918668333,4.285714285714286,7017.94
SHP-00118,Mersin,Izmir,Cold_Chain,Clear,4,378,3.5262713719823107,8.926271371982311,7.4,13620.92
SHP-00119,Ambarli,Mersin,Cold_Chain,Clear,6,220,5.289407057973466,8.432264200830609,5.142857142857142,10816.05
SHP-00120,Iskenderun,Ambarli,Dry,Rainy,7,567,6.1709749009690436,16.48006581005995,10.1,13866.51
SHP-00121,Mersin,Ambarli,Dry,Clear,10,151,8.815678429955776,10.972821287098633,4.157142857142857,7539.89
SHP-00122,Iskenderun,Ambarli,Hazardous,Clear,4,639,3.5262713719823107,12.65484280055374,11.128571428571428,22027.04
SHP-00123,Kocaeli,Mersin,Hazardous,Stormy,5,566,4.407839214977888,18.55783921497789,10.085714285714285,22998.48
SHP-00124,Mersin,Izmir,Dry,Clear,5,362,4.407839214977888,9.57926778640646,7.171428571428572,9702.1
SHP-00125,Izmir,Mersin,Dry,Clear,8,384,7.052542743964621,12.538257029678906,7.485714285714286,10703.62
SHP-00127,Izmir,Iskenderun,Dry,Clear,8,371,7.052542743964621,12.352542743964621,7.3,10502.51
SHP-00131,Izmir,Mersin,Dry,Clear,8,389,7.052542743964621,12.60968560110748,7.557142857142857,10780.97
SHP-00132,Izmir,Kocaeli,Dry,Rainy,8,183,7.052542743964621,10.379815471237348,4.614285714285714,7772.39
SHP-00133,Ambarli,Mersin,Dry,Clear,8,150,7.052542743964621,9.195399886821765,4.142857142857142,7083.64
SHP-00135,Mersin,Kocaeli,Cold_Chain,Clear,7,570,6.1709749009690436,14.313832043826185,10.142857142857142,18704.9
SHP-00138,Kocaeli,Iskenderun,Hazardous,Clear,10,152,8.815678429955776,10.987107001384347,4.171428571428571,12088.58
SHP-00139,Kocaeli,Iskenderun,Dry,Rainy,7,226,6.1709749009690436,10.280065810059952,5.228571428571429,8259.09
SHP-00141,Kocaeli,Iskenderun,Cold_Chain,Rainy,7,176,6.1709749009690436,9.370974900969044,4.514285714285714,10411.65
SHP-00142,Iskenderun,Izmir,Cold_Chain,Rainy,3,433,2.644703528986733,10.517430801714006,8.185714285714287,15094.01
SHP-00143,Izmir,Iskenderun,Dry,Clear,7,450,6.1709749009690436,12.599546329540473,8.428571428571429,11504.24
SHP-00145,Ambarli,Izmir,Dry,Stormy,9,150,7.934110586960199,11.684110586960198,4.142857142857142,7705.81
SHP-00146,Iskenderun,Kocaeli,Hazardous,Clear,3,185,2.644703528986733,5.287560671843876,4.642857142857142,10437.0
SHP-00147,Iskenderun,Ambarli,Oversized,Clear,10,612,8.815678429955776,17.558535572812918,10.742857142857142,29343.12
SHP-00148,Izmir,Kocaeli,Hazardous,Clear,5,220,4.407839214977888,7.550696357835031,5.142857142857142,12008.58
SHP-00149,Ambarli,Kocaeli,Cold_Chain,Clear,7,449,6.1709749009690436,12.585260615254757,8.414285714285715,16084.28
SHP-00150,Mersin,Kocaeli,Hazardous,Clear,6,590,5.289407057973466,13.717978486544894,10.428571428571429,21519.44
SHP-00153,Mersin,Kocaeli,Dry,Clear,2,617,1.7631356859911553,10.57742140027687,10.814285714285715,13044.99
SHP-00155,Iskenderun,Mersin,Dry,Clear,4,807,3.5262713719823107,15.05484280055374,13.528571428571428,16365.86
SHP-00156,Izmir,Mersin,Hazardous,Rainy,2,431,1.7631356859911553,9.599499322354792,8.157142857142858,16845.05
SHP-00157,Mersin,Kocaeli,Dry,Clear,6,618,5.289407057973466,14.117978486544896,10.82857142857143,13882.81
SHP-00158,Izmir,Kocaeli,Cold_Chain,Clear,1,250,0.8815678429955777,4.452996414424149,5.571428571428571,10314.5
SHP-00159,Izmir,Mersin,Oversized,Clear,8,411,7.052542743964621,12.923971315393192,7.871428571428571,22242.61
SHP-00160,Izmir,Ambarli,Dry,Clear,4,202,3.5262713719823107,6.411985657696596,4.885714285714286,7006.51
SHP-00161,Iskenderun,Izmir,Dry,Clear,2,448,1.7631356859911553,8.163135685991156,8.4,10430.56
SHP-00162,Iskenderun,Kocaeli,Oversized,Clear,3,212,2.644703528986733,5.673274957558162,5.0285714285714285,13881.63
SHP-00163,Izmir,Iskenderun,Dry,Clear,10,357,8.815678429955776,13.915678429955776,7.1,10726.71
SHP-00164,Izmir,Kocaeli,Dry,Clear,1,156,0.8815678429955777,3.1101392715670064,4.228571428571429,5913.32
SHP-00165,Izmir,Iskenderun,Cold_Chain,Clear,2,405,1.7631356859911553,7.548849971705441,7.785714285714286,13671.49
SHP-00166,Izmir,Iskenderun,Oversized,Clear,9,408,7.934110586960199,13.762682015531627,7.828571428571428,22590.58
SHP-00167,Mersin,Iskenderun,Hazardous,Clear,10,761,8.815678429955776,19.687107001384348,12.871428571428572,27162.54
SHP-00168,Mersin,Iskenderun,Oversized,Clear,9,814,7.934110586960199,19.562682015531628,13.628571428571428,35152.22
SHP-00169,Kocaeli,Ambarli,Dry,Clear,9,423,7.934110586960199,13.976967729817343,8.042857142857143,11527.34
SHP-00170,Kocaeli,Ambarli,Dry,Clear,5,407,4.407839214977888,10.222124929263602,7.814285714285714,10398.25
SHP-00171,Ambarli,Mersin,Dry,Clear,10,159,8.815678429955776,11.087107001384346,4.271428571428571,7663.65
SHP-00172,Izmir,Ambarli,Hazardous,Clear,6,174,5.289407057973466,7.7751213436877515,4.485714285714286,11222.61
SHP-00174,Izmir,Iskenderun,Dry,Rainy,10,426,8.815678429955776,16.56113297541032,8.085714285714285,12209.07
SHP-00175,Ambarli,Kocaeli,Hazardous,Clear,5,428,4.407839214977888,10.522124929263601,8.114285714285714,17156.99
SHP-00176,Ambarli,Kocaeli,Oversized,Clear,8,426,7.052542743964621,13.138257029678908,8.085714285714285,22706.71
SHP-00178,Izmir,Mersin,Dry,Clear,8,392,7.052542743964621,12.65254274396462,7.6,10827.38
SHP-00179,Ambarli,Iskenderun,Dry,Clear,5,629,4.407839214977888,13.393553500692175,10.985714285714286,13832.59
SHP-00180,Mersin,Kocaeli,Oversized,Clear,10,577,8.815678429955776,17.058535572812918,10.242857142857142,28260.22
SHP-00181,Mersin,Izmir,Cold_Chain,Clear,8,422,7.052542743964621,13.08111417253605,8.028571428571428,15808.07
SHP-00183,Mersin,Ambarli,Dry,Rainy,2,213,1.7631356859911553,5.635862958718428,5.042857142857143,6943.36
SHP-00185,Izmir,Iskenderun,Dry,Rainy,2,361,1.7631356859911553,8.326772049627518,7.1571428571428575,9377.08
SHP-00187,Izmir,Kocaeli,Dry,Clear,6,214,5.289407057973466,8.346549915116324,5.057142857142857,7632.93
SHP-00188,Kocaeli,Iskenderun,Cold_Chain,Clear,9,206,7.934110586960199,10.876967729817341,4.942857142857143,11438.49
SHP-00189,Kocaeli,Iskenderun,Oversized,Clear,6,159,5.289407057973466,7.560835629402037,4.271428571428571,13564.16
SHP-00190,Kocaeli,Izmir,Dry,Stormy,8,223,7.052542743964621,12.627542743964622,5.185714285714285,8810.27
SHP-00192,Mersin,Izmir,Dry,Clear,3,442,2.644703528986733,8.958989243272447,8.314285714285713,10498.92
SHP-00193,Ambarli,Mersin,Cold_Chain,Clear,9,249,7.934110586960199,11.491253444103055,5.557142857142857,12369.78
SHP-00194,Iskenderun,Kocaeli,Hazardous,Rainy,9,247,7.934110586960199,12.42501967786929,5.5285714285714285,14472.32
SHP-00195,Mersin,Ambarli,Hazardous,Clear,6,181,5.289407057973466,7.875121343687752,4.585714285714285,11395.87
SHP-00196,Kocaeli,Ambarli,Hazardous,Clear,10,367,8.815678429955776,14.058535572812918,7.242857142857143,17410.26
SHP-00197,Kocaeli,Ambarli,Dry,Clear,3,439,2.644703528986733,8.916132100415304,8.271428571428572,10452.51
SHP-00198,Iskenderun,Kocaeli,Dry,Clear,9,237,7.934110586960199,11.319824872674484,5.385714285714286,8649.92
SHP-00202,Ambarli,Mersin,Dry,Clear,6,184,5.289407057973466,7.917978486544895,4.628571428571428,7168.83
SHP-00203,Ambarli,Kocaeli,Dry,Clear,6,404,5.289407057973466,11.060835629402037,7.771428571428571,10572.23
SHP-00204,Izmir,Mersin,Dry,Clear,1,379,0.8815678429955777,6.295853557281292,7.414285714285715,9363.13
SHP-00206,Ambarli,Izmir,Dry,Rainy,2,238,1.7631356859911553,6.090408413263883,5.4,7354.46
SHP-00207,Kocaeli,Iskenderun,Cold_Chain,Rainy,1,168,0.8815678429955777,3.9361132975410325,4.4,8538.54
SHP-00208,Kocaeli,Izmir,Hazardous,Rainy,7,170,6.1709749009690436,9.261883991878134,4.428571428571429,11741.17
SHP-00209,Izmir,Mersin,Hazardous,Rainy,3,410,2.644703528986733,10.099248983532187,7.857142857142857,16645.16
SHP-00210,Iskenderun,Izmir,Hazardous,Rainy,4,393,3.5262713719823107,10.671725917436856,7.614285714285714,16550.51
SHP-00211,Kocaeli,Mersin,Oversized,Rainy,9,626,7.934110586960199,19.31592876877838,10.942857142857143,30554.98
SHP-00212,Ambarli,Izmir,Oversized,Clear,8,188,7.052542743964621,9.738257029678907,4.685714285714285,15342.99
SHP-00213,Izmir,Iskenderun,Dry,Clear,5,445,4.407839214977888,10.764982072120745,8.357142857142858,10986.11
SHP-00214,Mersin,Izmir,Dry,Clear,2,441,1.7631356859911553,8.063135685991154,8.3,10322.27
SHP-00216,Kocaeli,Ambarli,Hazardous,Stormy,6,403,5.289407057973466,15.364407057973466,7.757142857142857,18617.96
SHP-00218,Kocaeli,Mersin,Dry,Clear,9,650,7.934110586960199,17.219824872674486,11.285714285714286,15039.03
SHP-00219,Izmir,Kocaeli,Cold_Chain,Clear,8,236,7.052542743964621,10.423971315393192,5.371428571428572,11779.68
SHP-00220,Izmir,Ambarli,Dry,Clear,2,167,1.7631356859911553,4.148849971705441,4.385714285714286,6083.49
SHP-00222,Iskenderun,Kocaeli,Dry,Stormy,1,226,0.8815678429955777,6.531567842995578,5.228571428571429,7321.97
SHP-00223,Izmir,Iskenderun,Dry,Clear,5,417,4.407839214977888,10.364982072120746,7.957142857142857,10552.95
SHP-00224,Ambarli,Iskenderun,Oversized,Clear,10,585,8.815678429955776,17.172821287098635,10.357142857142858,28507.74
SHP-00225,Mersin,Kocaeli,Cold_Chain,Clear,10,567,8.815678429955776,16.915678429955776,10.1,19565.57
SHP-00226,Iskenderun,Kocaeli,Dry,Clear,5,208,4.407839214977888,7.3792677864064595,4.9714285714285715,7319.72
SHP-00228,Kocaeli,Ambarli,Dry,Clear,7,366,6.1709749009690436,11.399546329540472,7.228571428571429,10204.76
SHP-00229,Kocaeli,Izmir,Hazardous,Clear,10,240,8.815678429955776,12.244249858527205,5.428571428571429,14266.75
SHP-00230,Ambarli,Mersin,Dry,Clear,3,224,2.644703528986733,5.844703528986733,5.2,7126.46
SHP-00233,Mersin,Izmir,Dry,Clear,2,426,1.7631356859911553,7.848849971705441,8.085714285714285,10090.22
SHP-00234,Izmir,Iskenderun,Cold_Chain,Clear,3,375,2.644703528986733,8.00184638612959,7.357142857142857,13247.4
SHP-00235,Mersin,Ambarli,Dry,Clear,10,188,8.815678429955776,11.501392715670061,4.685714285714285,8112.28
SHP-00238,Mersin,Kocaeli,Cold_Chain,Clear,10,570,8.815678429955776,16.95853557281292,10.142857142857142,19630.55
SHP-00240,Ambarli,Izmir,Cold_Chain,Clear,6,197,5.289407057973466,8.10369277225918,4.814285714285715,10317.92
SHP-00241,Mersin,Izmir,Dry,Stormy,2,350,1.7631356859911553,10.513135685991156,7.0,9792.78
SHP-00242,Mersin,Kocaeli,Hazardous,Clear,4,641,3.5262713719823107,12.683414229125168,11.157142857142857,22076.54
SHP-00243,Iskenderun,Mersin,Cold_Chain,Clear,9,781,7.934110586960199,19.091253444103057,13.157142857142857,23891.84
SHP-00245,Iskenderun,Ambarli,Cold_Chain,Clear,3,555,2.644703528986733,10.573274957558162,9.928571428571429,17145.84
SHP-00246,Izmir,Ambarli,Dry,Clear,4,168,3.5262713719823107,5.926271371982311,4.4,6480.53
SHP-00247,Mersin,Ambarli,Dry,Stormy,9,221,7.934110586960199,13.4591105869602,5.157142857142857,8994.36
SHP-00248,Izmir,Kocaeli,Dry,Rainy,8,155,7.052542743964621,9.870724562146439,4.214285714285714,7311.96
SHP-00250,Mersin,Kocaeli,Cold_Chain,Clear,2,582,1.7631356859911553,10.07742140027687,10.314285714285715,17504.96
SHP-00251,Izmir,Kocaeli,Dry,Rainy,7,225,6.1709749009690436,10.261883991878134,5.214285714285714,8242.65
SHP-00252,Izmir,Iskenderun,Dry,Clear,10,425,8.815678429955776,14.887107001384347,8.071428571428571,11778.67
SHP-00254,Izmir,Mersin,Dry,Clear,4,435,3.5262713719823107,9.740557086268025,8.214285714285715,10611.02
SHP-00255,Iskenderun,Mersin,Dry,Clear,9,825,7.934110586960199,19.719824872674486,13.785714285714286,17746.28
SHP-00257,Izmir,Ambarli,Dry,Rainy,5,221,4.407839214977888,8.426021033159707,5.157142857142857,7736.09
SHP-00258,Kocaeli,Izmir,Hazardous,Clear,6,226,5.289407057973466,8.517978486544894,5.228571428571429,12509.71
SHP-00259,Iskenderun,Ambarli,Dry,Rainy,10,635,8.815678429955776,20.36113297541032,11.071428571428571,15645.88
SHP-00260,Mersin,Izmir,Hazardous,Rainy,2,364,1.7631356859911553,8.381317504172973,7.2,15082.26
SHP-00261,Kocaeli,Mersin,Cold_Chain,Clear,4,628,3.5262713719823107,12.497699943410883,10.971428571428572,19035.42
SHP-00262,Izmir,Kocaeli,Hazardous,Clear,1,234,0.8815678429955777,4.22442498585272,5.342857142857143,11391.97
SHP-00263,Ambarli,Iskenderun,Dry,Clear,6,623,5.289407057973466,14.189407057973465,10.9,13960.16
SHP-00264,Ambarli,Izmir,Cold_Chain,Clear,10,179,8.815678429955776,11.372821287098633,4.557142857142857,11162.27
SHP-00265,Iskenderun,Izmir,Cold_Chain,Clear,6,378,5.289407057973466,10.689407057973465,7.4,14238.02
SHP-00266,Iskenderun,Mersin,Hazardous,Clear,5,833,4.407839214977888,16.30783921497789,13.9,27181.55
SHP-00269,Kocaeli,Izmir,Hazardous,Rainy,6,157,5.289407057973466,8.14395251251892,4.242857142857143,11046.5
SHP-00270,Iskenderun,Izmir,Dry,Clear,4,424,3.5262713719823107,9.583414229125168,8.057142857142857,10440.85
SHP-00271,Kocaeli,Mersin,Dry,Stormy,5,635,4.407839214977888,20.282839214977887,11.071428571428571,15626.3
SHP-00273,Kocaeli,Ambarli,Dry,Stormy,2,440,1.7631356859911553,12.763135685991156,8.285714285714285,11426.16
SHP-00274,Ambarli,Kocaeli,Dry,Rainy,3,352,2.644703528986733,9.044703528986734,7.0285714285714285,9449.47
SHP-00275,Izmir,Iskenderun,Dry,Clear,9,351,7.934110586960199,12.948396301245914,7.014285714285714,10413.5
SHP-00276,Mersin,Ambarli,Hazardous,Clear,4,199,3.5262713719823107,6.369128514839454,4.842857142857143,11136.16
SHP-00277,Iskenderun,Izmir,Hazardous,Clear,4,367,3.5262713719823107,8.769128514839453,7.242857142857143,15294.49
SHP-00278,Iskenderun,Mersin,Cold_Chain,Clear,4,807,3.5262713719823107,15.05484280055374,13.528571428571428,22912.2
SHP-00279,Mersin,Izmir,Hazardous,Stormy,10,415,8.815678429955776,19.190678429955774,7.928571428571429,20376.92
SHP-00280,Mersin,Ambarli,Cold_Chain,Clear,4,214,3.5262713719823107,6.583414229125168,5.057142857142857,10069.01
SHP-00281,Kocaeli,Izmir,Dry,Stormy,3,175,2.644703528986733,7.019703528986733,4.5,6837.18
SHP-00282,Kocaeli,Mersin,Dry,Clear,2,583,1.7631356859911553,10.091707114562585,10.32857142857143,12519.01
SHP-00284,Kocaeli,Ambarli,Cold_Chain,Clear,10,409,8.815678429955776,14.65853557281292,7.8428571428571425,16143.61
SHP-00285,Iskenderun,Kocaeli,Oversized,Clear,9,201,7.934110586960199,10.80553915838877,4.871428571428572,16186.0
SHP-00286,Mersin,Ambarli,Dry,Clear,4,177,3.5262713719823107,6.05484280055374,4.5285714285714285,6619.76
SHP-00287,Kocaeli,Iskenderun,Dry,Clear,7,189,6.1709749009690436,8.870974900969044,4.7,7466.57
SHP-00288,Kocaeli,Izmir,Oversized,Clear,4,231,3.5262713719823107,6.82627137198231,5.3,14910.28
